state,year,median_monthly_wage_rm
Pulau Pinang,2012,1515.0
Pulau Pinang,2013,1631.0
Pulau Pinang,2014,1800.0
Pulau Pinang,2015,1900.0
Pulau Pinang,2016,2000.0
Pulau Pinang,2017,2160.0
Pulau Pinang,2018,2215.0
Pulau Pinang,2019,2346.0
Pulau Pinang,2020,2115.0
Pulau Pinang,2021,2414.0
Pulau Pinang,2022,2477.0
Pulau Pinang,2023,2715.0
Pulau Pinang,2024,2934.0
Sabah,2010,1188.0
Sabah,2011,1200.0
Sabah,2012,1100.0
Sabah,2013,1300.0
Sabah,2014,1400.0
Sabah,2015,1480.0
Sabah,2016,1600.0
Sabah,2017,1763.0
Sabah,2018,1951.0
Sabah,2019,1980.0
Sabah,2020,1705.0
Sabah,2021,1899.0
Sabah,2022,2011.0
Sabah,2023,2059.0
Sabah,2024,2236.0
Sarawak,2010,1100.0
Sarawak,2011,1200.0
Sarawak,2012,1200.0
Sarawak,2013,1400.0
Sarawak,2014,1400.0
Sarawak,2015,1450.0
Sarawak,2016,1500.0
Sarawak,2017,1800.0
Sarawak,2018,2033.0
Sarawak,2019,2070.0
Sarawak,2020,1595.0
Sarawak,2021,2036.0
Sarawak,2022,2069.0
Sarawak,2023,2276.0
Sarawak,2024,2490.0
Selangor,2010,1894.0
Selangor,2011,1800.0
Selangor,2012,2000.0
Selangor,2013,2000.0
Selangor,2014,2200.0
Selangor,2015,2500.0
Selangor,2016,2500.0
Selangor,2017,2580.0
Selangor,2018,2695.0
Selangor,2019,2956.0
Selangor,2020,2713.0
Selangor,2021,2778.0
Selangor,2022,3109.0
Selangor,2023,3235.0
Selangor,2024,3350.0
Terengganu,2010,1200.0
Terengganu,2011,1158.0
Terengganu,2012,1200.0
Terengganu,2013,1150.0
Terengganu,2014,1250.0
Terengganu,2015,1500.0
Terengganu,2016,1500.0
Terengganu,2017,1700.0
Terengganu,2018,1874.0
Terengganu,2019,1911.0
Terengganu,2020,1537.0
Terengganu,2021,1549.0
Terengganu,2022,1703.0
Terengganu,2023,1845.0
Terengganu,2024,2021.0
W.P. Kuala Lumpur,2010,1900.0
W.P. Kuala Lumpur,2011,2000.0
W.P. Kuala Lumpur,2012,2000.0
W.P. Kuala Lumpur,2013,2295.0
W.P. Kuala Lumpur,2014,2500.0
W.P. Kuala Lumpur,2015,2500.0
W.P. Kuala Lumpur,2016,2500.0
W.P. Kuala Lumpur,2017,2650.0
W.P. Kuala Lumpur,2018,2946.0
W.P. Kuala Lumpur,2019,3106.0
W.P. Kuala Lumpur,2020,2995.0
W.P. Kuala Lumpur,2021,2999.0
W.P. Kuala Lumpur,2022,3301.0
W.P. Kuala Lumpur,2023,3469.0
W.P. Kuala Lumpur,2024,3687.0
W.P. Labuan,2010,1675.0
W.P. Labuan,2011,1500.0
W.P. Labuan,2012,1519.0
W.P. Labuan,2013,1800.0
W.P. Labuan,2014,1700.0
W.P. Labuan,2015,1900.0
W.P. Labuan,2016,2000.0
W.P. Labuan,2017,2170.0
W.P. Labuan,2018,2419.0
W.P. Labuan,2019,2712.0
W.P. Labuan,2020,2154.0
W.P. Labuan,2021,2573.0
W.P. Labuan,2022,2657.0
W.P. Labuan,2023,2735.0
W.P. Labuan,2024,2931.0
W.P. Putrajaya,2010,2095.0
W.P. Putrajaya,2011,2320.0
W.P. Putrajaya,2012,2625.0
W.P. Putrajaya,2013,2500.0
W.P. Putrajaya,2014,2695.0
W.P. Putrajaya,2015,3000.0
W.P. Putrajaya,2016,3250.0
W.P. Putrajaya,2017,3500.0
W.P. Putrajaya,2018,3673.0
W.P. Putrajaya,2019,3749.0
W.P. Putrajaya,2020,3682.0
W.P. Putrajaya,2021,3858.0
W.P. Putrajaya,2022,3995.0
W.P. Putrajaya,2023,4443.0
W.P. Putrajaya,2024,4598.0
