metric,state,year,value,unit,source_table,source_title,source_release_date,source_pdf
mean_monthly_wage_rm,Kedah,2017,2193.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2018,2294.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2019,2413.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2020,2289.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2021,2516.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2022,2627.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2023,2859.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2024,3053.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2010,1645.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2011,1622.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2012,1604.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2013,1662.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2014,1853.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2015,2069.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2016,2248.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2017,2319.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2018,2419.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2019,2571.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2020,2467.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2021,2522.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2022,2604.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2023,2882.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kelantan,2024,3091.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2010,1936.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2011,1959.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2012,2052.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2013,2186.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2014,2377.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2015,2487.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2016,2657.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2017,2879.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2018,3087.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2019,3224.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2020,2954.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2021,3049.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2022,3219.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2023,3441.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Malaysia,2024,3652.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2010,1717.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2011,1765.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2012,1879.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2013,2061.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2014,2123.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2015,2174.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2016,2297.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2017,2565.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2018,2853.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2019,2990.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2020,2925.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2021,2950.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2022,3093.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2023,3311.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Melaka,2024,3469.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2010,1885.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2011,1975.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2012,1922.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2013,2246.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2014,2445.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2015,2464.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2016,2628.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2017,2874.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2018,3048.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2019,3218.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2020,2989.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2021,3060.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2022,3177.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2023,3375.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Negeri Sembilan,2024,3626.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2010,1660.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2011,1695.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2012,1718.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2013,1919.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2014,2062.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2015,2122.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2016,2185.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2017,2425.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2018,2662.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2019,2754.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2020,2690.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2021,2727.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2022,2844.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2023,3124.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pahang,2024,3337.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2010,1622.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2011,1607.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2012,1712.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2013,1732.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2014,1859.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2015,2030.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2016,2206.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2017,2281.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2018,2387.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2019,2571.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2020,2468.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2021,2619.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2022,2742.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2023,2973.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perak,2024,3172.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2010,1709.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2011,1682.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2012,1609.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2013,1710.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2014,2084.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2015,2248.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2016,2271.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2017,2465.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2018,2628.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2019,2723.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2020,2605.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2021,2676.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2022,2746.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2023,2968.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Perlis,2024,3257.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2010,1944.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2011,2016.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2012,2021.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2013,2106.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2014,2339.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2015,2414.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2016,2603.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2017,2672.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2018,2811.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2019,3022.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2020,2881.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2021,3089.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2022,3315.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2023,3557.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Pulau Pinang,2024,3787.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2010,1578.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2011,1623.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2012,1634.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2013,1877.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2014,1998.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2015,2046.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2016,2224.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2017,2507.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2018,2745.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2019,2836.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2020,2648.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2021,2784.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2022,2871.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2023,3127.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sabah,2024,3389.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2010,1706.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2011,1753.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2012,1735.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2013,1929.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2014,2069.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2015,2077.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2016,2255.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2017,2513.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2018,2757.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2019,2819.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2020,2515.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2021,2786.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2022,2937.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2023,3158.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Sarawak,2024,3424.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Selangor,2010,2429.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Selangor,2011,2314.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Selangor,2012,2501.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
